"doc_key","index","url"
"news·20241226·LM·202412262×20×22578961160×215",0,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720241226%C2%B7LM%C2%B7202412262%C3%9720%C3%9722578961160%C3%97215&docIndex=0"
"news·20241218·LM·202412182×20×22531266041",1,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720241218%C2%B7LM%C2%B7202412182%C3%9720%C3%9722531266041&docIndex=1"
"news·20241218·LM·202412182×20×22533440554",2,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720241218%C2%B7LM%C2%B7202412182%C3%9720%C3%9722533440554&docIndex=2"
"news·20241216·LM·202412162×20×22527506523",3,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720241216%C2%B7LM%C2%B7202412162%C3%9720%C3%9722527506523&docIndex=3"
"news·20241210·LM·202412102×20×22516479064",4,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720241210%C2%B7LM%C2%B7202412102%C3%9720%C3%9722516479064&docIndex=4"
"news·20241204·LF·1092×20×2698515687",5,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720241204%C2%B7LF%C2%B71092%C3%9720%C3%972698515687&docIndex=5"
"news·20241202·LM·202412022×20×22482178862",6,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720241202%C2%B7LM%C2%B7202412022%C3%9720%C3%9722482178862&docIndex=6"
"news·20241202·LM·202412022×20×22491257184",7,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720241202%C2%B7LM%C2%B7202412022%C3%9720%C3%9722491257184&docIndex=7"
"news·20241116·LF·1092×20×2388058604",8,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720241116%C2%B7LF%C2%B71092%C3%9720%C3%972388058604&docIndex=8"
"news·20241114·LF·1092×20×2353402544",9,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720241114%C2%B7LF%C2%B71092%C3%9720%C3%972353402544&docIndex=9"
"news·20241109·LF·1092×20×2269199906",10,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720241109%C2%B7LF%C2%B71092%C3%9720%C3%972269199906&docIndex=10"
"news·20241104·LI·202411040895968830",11,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720241104%C2%B7LI%C2%B7202411040895968830&docIndex=11"
"news·20241030·LF·1082×20×21855612504",12,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720241030%C2%B7LF%C2%B71082%C3%9720%C3%9721855612504&docIndex=12"
"news·20241030·LF·1082×20×21855425371",13,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720241030%C2%B7LF%C2%B71082%C3%9720%C3%9721855425371&docIndex=13"
"news·20241029·LI·202410290895932928",14,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720241029%C2%B7LI%C2%B7202410290895932928&docIndex=14"
"news·20241026·LE·l00012331273",15,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720241026%C2%B7LE%C2%B7l00012331273&docIndex=15"
"news·20241022·LF·1082×20×21918517116",16,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720241022%C2%B7LF%C2%B71082%C3%9720%C3%9721918517116&docIndex=16"
"news·20241019·OP·3d6f6d60-8de3-11ef-81f6-bb78ec196f4d",17,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720241019%C2%B7OP%C2%B73d6f6d60-8de3-11ef-81f6-bb78ec196f4d&docIndex=17"
"news·20241018·LM·202410182×20×22353927630",18,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720241018%C2%B7LM%C2%B7202410182%C3%9720%C3%9722353927630&docIndex=18"
"news·20241005·LI·202410050895994230",19,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720241005%C2%B7LI%C2%B7202410050895994230&docIndex=19"
"news·20241004·LM·202410042×20×22317580284",20,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720241004%C2%B7LM%C2%B7202410042%C3%9720%C3%9722317580284&docIndex=20"
"news·20241002·LF·1082×20×21560660407",21,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720241002%C2%B7LF%C2%B71082%C3%9720%C3%9721560660407&docIndex=21"
"news·20240930·LM·202409302×20×22297228055",22,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720240930%C2%B7LM%C2%B7202409302%C3%9720%C3%9722297228055&docIndex=22"
"news·20240927·LF·1082×20×21475816454",23,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720240927%C2%B7LF%C2%B71082%C3%9720%C3%9721475816454&docIndex=23"
"news·20240925·LM·202409252×20×22282488856",24,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720240925%C2%B7LM%C2%B7202409252%C3%9720%C3%9722282488856&docIndex=24"
"news·20240925·LM·202409252×20×22282516431",25,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720240925%C2%B7LM%C2%B7202409252%C3%9720%C3%9722282516431&docIndex=25"
"news·20240925·LM·202409252×20×22282486913",26,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720240925%C2%B7LM%C2%B7202409252%C3%9720%C3%9722282486913&docIndex=26"
"news·20240923·LM·202409232×20×22285594318",27,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720240923%C2%B7LM%C2%B7202409232%C3%9720%C3%9722285594318&docIndex=27"
"news·20240918·LF·1082×20×21268083068",28,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720240918%C2%B7LF%C2%B71082%C3%9720%C3%9721268083068&docIndex=28"
"news·20240914·LE·l00012324459",29,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720240914%C2%B7LE%C2%B7l00012324459&docIndex=29"
"news·20240913·LI·202409135015389662",30,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720240913%C2%B7LI%C2%B7202409135015389662&docIndex=30"
"news·20240912·LM·202409122×20×22263272954",31,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720240912%C2%B7LM%C2%B7202409122%C3%9720%C3%9722263272954&docIndex=31"
"news·20240912·LF·1082×20×21198836346",32,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720240912%C2%B7LF%C2%B71082%C3%9720%C3%9721198836346&docIndex=32"
"news·20240911·LM·202409112×20×22253206677",33,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720240911%C2%B7LM%C2%B7202409112%C3%9720%C3%9722253206677&docIndex=33"
"news·20240909·LM·202409092×20×22253078196",34,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720240909%C2%B7LM%C2%B7202409092%C3%9720%C3%9722253078196&docIndex=34"
"news·20240904·LF·1082×20×21082380712",35,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720240904%C2%B7LF%C2%B71082%C3%9720%C3%9721082380712&docIndex=35"
"news·20240902·LM·202409022×20×22236974252",36,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720240902%C2%B7LM%C2%B7202409022%C3%9720%C3%9722236974252&docIndex=36"
"news·20240820·LM·202408202×20×22210724435",37,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720240820%C2%B7LM%C2%B7202408202%C3%9720%C3%9722210724435&docIndex=37"
"news·20240724·LM·202407242×20×22169010839",38,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720240724%C2%B7LM%C2%B7202407242%C3%9720%C3%9722169010839&docIndex=38"
"news·20240720·LI·202407205015376918",39,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720240720%C2%B7LI%C2%B7202407205015376918&docIndex=39"
"news·20240713·LM·202407132×20×22154432345",40,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720240713%C2%B7LM%C2%B7202407132%C3%9720%C3%9722154432345&docIndex=40"
"news·20240710·LM·202407102×20×22145626601",41,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720240710%C2%B7LM%C2%B7202407102%C3%9720%C3%9722145626601&docIndex=41"
"news·20240705·LM·202407052×20×22143574470",42,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720240705%C2%B7LM%C2%B7202407052%C3%9720%C3%9722143574470&docIndex=42"
