"doc_key","index","url"
"news·20130904·LM·0sch3613_832268",0,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720130904%C2%B7LM%C2%B70sch3613_832268&docIndex=0"
"news·20130904·LM·0sch3613_832325",1,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720130904%C2%B7LM%C2%B70sch3613_832325&docIndex=1"
"news·20130904·LM·0sch3613_832051",2,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720130904%C2%B7LM%C2%B70sch3613_832051&docIndex=2"
"news·20130829·LM·0s2908_829744",3,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720130829%C2%B7LM%C2%B70s2908_829744&docIndex=3"
"news·20130828·LM·0sch3513_827446",4,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720130828%C2%B7LM%C2%B70sch3513_827446&docIndex=4"
"news·20130826·LI·50b988a0-0d9e-11e3-85b9-78f0aad63ddb",5,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720130826%C2%B7LI%C2%B750b988a0-0d9e-11e3-85b9-78f0aad63ddb&docIndex=5"
"news·20130826·LM·0q2508_817268",6,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720130826%C2%B7LM%C2%B70q2508_817268&docIndex=6"
"news·20130824·LM·0q2408_816537",7,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720130824%C2%B7LM%C2%B70q2408_816537&docIndex=7"
"news·20130824·LI·b68f269e-0c22-11e3-a7e8-4a56fbb2a4d1",8,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720130824%C2%B7LI%C2%B7b68f269e-0c22-11e3-a7e8-4a56fbb2a4d1&docIndex=8"
"news·20130820·LM·0q2008_825814",9,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720130820%C2%B7LM%C2%B70q2008_825814&docIndex=9"
"news·20130813·LA·0024",10,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720130813%C2%B7LA%C2%B70024&docIndex=10"
"news·20130813·LE·2013-08-13_384960",11,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720130813%C2%B7LE%C2%B72013-08-13_384960&docIndex=11"
"news·20130813·LF·262×21×22077101054",12,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720130813%C2%B7LF%C2%B7262%C3%9721%C3%9722077101054&docIndex=12"
"news·20130810·LE·2013-08-10_384818",13,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720130810%C2%B7LE%C2%B72013-08-10_384818&docIndex=13"
"news·20130805·LI·33e850d0-fd22-11e2-9f0f-275a45d61c35",14,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720130805%C2%B7LI%C2%B733e850d0-fd22-11e2-9f0f-275a45d61c35&docIndex=14"
"news·20130727·LM·0s2707_817559",15,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720130727%C2%B7LM%C2%B70s2707_817559&docIndex=15"
"news·20130717·LM·0sch2913_805611",16,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720130717%C2%B7LM%C2%B70sch2913_805611&docIndex=16"
"news·20130704·LF·252×21×21719621642",17,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720130704%C2%B7LF%C2%B7252%C3%9721%C3%9721719621642&docIndex=17"
"news·20130703·LM·0sch2713_804174",18,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720130703%C2%B7LM%C2%B70sch2713_804174&docIndex=18"
"news·20130701·LI·27566046-e184-11e2-9984-3ec9141ca05a",19,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720130701%C2%B7LI%C2%B727566046-e184-11e2-9984-3ec9141ca05a&docIndex=19"
"news·20130629·LS·0072",20,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720130629%C2%B7LS%C2%B70072&docIndex=20"
"news·20130628·LI·3f6437a0-df39-11e2-8cc1-f0a6857eb021",21,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720130628%C2%B7LI%C2%B73f6437a0-df39-11e2-8cc1-f0a6857eb021&docIndex=21"
"news·20130626·LM·0q2606_801093",22,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720130626%C2%B7LM%C2%B70q2606_801093&docIndex=22"
"news·20130617·LA·0064",23,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720130617%C2%B7LA%C2%B70064&docIndex=23"
"news·20130615·LS·0058",24,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720130615%C2%B7LS%C2%B70058&docIndex=24"
"news·20130603·LI·219c8bac-cb96-11e2-8fd4-7c5a81c80ca9",25,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720130603%C2%B7LI%C2%B7219c8bac-cb96-11e2-8fd4-7c5a81c80ca9&docIndex=25"
"news·20130601·LM·0arh2213_771718",26,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720130601%C2%B7LM%C2%B70arh2213_771718&docIndex=26"
"news·20130530·LE·2013-05-30_379368",27,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720130530%C2%B7LE%C2%B72013-05-30_379368&docIndex=27"
"news·20130528·LM·0spa2213_781295",28,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720130528%C2%B7LM%C2%B70spa2213_781295&docIndex=28"
"news·20130525·LE·2013-05-25_379073",29,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720130525%C2%B7LE%C2%B72013-05-25_379073&docIndex=29"
"news·20130508·LM·0sch1913_769814",30,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720130508%C2%B7LM%C2%B70sch1913_769814&docIndex=30"
"news·20130506·LI·91081466-b593-11e2-9d8a-f67bceb2751f",31,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720130506%C2%B7LI%C2%B791081466-b593-11e2-9d8a-f67bceb2751f&docIndex=31"
"news·20130506·LI·9e34cf30-b593-11e2-9d8a-f67bceb2751f",32,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720130506%C2%B7LI%C2%B79e34cf30-b593-11e2-9d8a-f67bceb2751f&docIndex=32"
"news·20130503·LA·0070",33,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720130503%C2%B7LA%C2%B70070&docIndex=33"
"news·20130502·LA·0067",34,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720130502%C2%B7LA%C2%B70067&docIndex=34"
"news·20130501·LS·0031",35,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720130501%C2%B7LS%C2%B70031&docIndex=35"
"news·20130430·LI·c1bde098-b0ef-11e2-b1dd-830485499ed9",36,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720130430%C2%B7LI%C2%B7c1bde098-b0ef-11e2-b1dd-830485499ed9&docIndex=36"
"news·20130429·QT·0014",37,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720130429%C2%B7QT%C2%B70014&docIndex=37"
"news·20130427·LM·0arh1713_765207",38,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720130427%C2%B7LM%C2%B70arh1713_765207&docIndex=38"
"news·20130426·LI·c9b69ffe-adc7-11e2-afe1-d36432039d5e",39,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720130426%C2%B7LI%C2%B7c9b69ffe-adc7-11e2-afe1-d36432039d5e&docIndex=39"
"news·20130424·LF·242×21×2978480936",40,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720130424%C2%B7LF%C2%B7242%C3%9721%C3%972978480936&docIndex=40"
"news·20130416·LM·0mde1613_757036",41,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720130416%C2%B7LM%C2%B70mde1613_757036&docIndex=41"
"news·20130416·LM·0q1604_759341",42,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720130416%C2%B7LM%C2%B70q1604_759341&docIndex=42"
"news·20130415·LI·488eccf2-a50d-11e2-8854-56e149cee7b1",43,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720130415%C2%B7LI%C2%B7488eccf2-a50d-11e2-8854-56e149cee7b1&docIndex=43"
"news·20130413·OR·130413288166929",44,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720130413%C2%B7OR%C2%B7130413288166929&docIndex=44"
"news·20130329·LE·2013-03-29_374522",45,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720130329%C2%B7LE%C2%B72013-03-29_374522&docIndex=45"
"news·20130329·LT·0040",46,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720130329%C2%B7LT%C2%B70040&docIndex=46"
"news·20130325·LE·2013-03-25_374085",47,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720130325%C2%B7LE%C2%B72013-03-25_374085&docIndex=47"
"news·20130325·TB·0019",48,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720130325%C2%B7TB%C2%B70019&docIndex=48"
"news·20130322·LM·0q2203_745697",49,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720130322%C2%B7LM%C2%B70q2203_745697&docIndex=49"
"news·20130320·LE·2013-03-20_373618",50,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720130320%C2%B7LE%C2%B72013-03-20_373618&docIndex=50"
"news·20130320·LE·2013-03-20_373653",51,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720130320%C2%B7LE%C2%B72013-03-20_373653&docIndex=51"
"news·20130320·OP·130320285052883",52,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720130320%C2%B7OP%C2%B7130320285052883&docIndex=52"
"news·20130320·LS·0029",53,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720130320%C2%B7LS%C2%B70029&docIndex=53"
"news·20130320·TB·0006",54,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720130320%C2%B7TB%C2%B70006&docIndex=54"
"news·20130319·LS·0022",55,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720130319%C2%B7LS%C2%B70022&docIndex=55"
"news·20130319·LE·2013-03-19_373584",56,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720130319%C2%B7LE%C2%B72013-03-19_373584&docIndex=56"
"news·20130319·TB·0016",57,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720130319%C2%B7TB%C2%B70016&docIndex=57"
