doc_key,index,url
news·20250310·LI·202503100895995984,0,https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720250310%C2%B7LI%C2%B7202503100895995984&docIndex=0
news·20250228·LM·202502282×20×22852688860×215,1,https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720250228%C2%B7LM%C2%B7202502282%C3%9720%C3%9722852688860%C3%97215&docIndex=1
news·20250225·LM·202502252×20×22834188922×215,2,https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720250225%C2%B7LM%C2%B7202502252%C3%9720%C3%9722834188922%C3%97215&docIndex=2
news·20250224·LM·202502242×20×22830984477×215,3,https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720250224%C2%B7LM%C2%B7202502242%C3%9720%C3%9722830984477%C3%97215&docIndex=3
news·20250219·LM·202502192×20×22791633701,4,https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720250219%C2%B7LM%C2%B7202502192%C3%9720%C3%9722791633701&docIndex=4
news·20250215·LE·l00012339998,5,https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720250215%C2%B7LE%C2%B7l00012339998&docIndex=5
news·20250213·LF·1102×20×293880113,6,https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720250213%C2%B7LF%C2%B71102%C3%9720%C3%97293880113&docIndex=6
news·20250213·LM·202502132×20×22786481944×215,7,https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720250213%C2%B7LM%C2%B7202502132%C3%9720%C3%9722786481944%C3%97215&docIndex=7
news·20250212·LF·1102×20×277257354,8,https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720250212%C2%B7LF%C2%B71102%C3%9720%C3%97277257354&docIndex=8
news·20250212·LI·202502120895960165,9,https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720250212%C2%B7LI%C2%B7202502120895960165&docIndex=9
