term_with_n,model,correlation,p_value,sig_level,n_obs,data_pct,abs_correlation
deepseekchat (FR→FR),deepseekchat_fr_fr,0.7074871917297193,1.1296181616929481e-31,p < 0.001,200,100,0.7074871917297193
deepseekchat (EN→FR),deepseekchat_en_fr,0.7040412749486752,2.962737970353062e-31,p < 0.001,200,100,0.7040412749486752
deepseekchat (EN→EN),deepseekchat_en_en,0.6744387264537637,6.843047262690335e-28,p < 0.001,200,100,0.6744387264537637
gpt4o (FR→FR),gpt4o_fr_fr,0.6711342374079482,1.5367702935604896e-27,p < 0.001,200,100,0.6711342374079482
claude35 (EN→EN),claude35_en_en,0.6676675905901724,3.551204607358789e-27,p < 0.001,200,100,0.6676675905901724
gpt4o (EN→EN),gpt4o_en_en,0.6601114987667311,2.1211571825272418e-26,p < 0.001,200,100,0.6601114987667311
claude35 (EN→FR),claude35_en_fr,0.6574116906539952,3.9673858403107144e-26,p < 0.001,200,100,0.6574116906539952
gpt4o (EN→FR),gpt4o_en_fr,0.6573556394201178,4.0190229642604286e-26,p < 0.001,200,100,0.6573556394201178
gemini20 (EN→FR),gemini20_en_fr,0.6539452986606179,8.781761680556805e-26,p < 0.001,200,100,0.6539452986606179
llama3370b (FR→FR),llama3370b_fr_fr,0.6528612759701494,1.123490621798938e-25,p < 0.001,200,100,0.6528612759701494
claude35 (FR→FR),claude35_fr_fr,0.6507851974362772,1.7957740342557023e-25,p < 0.001,200,100,0.6507851974362772
gemini20 (FR→FR),gemini20_fr_fr,0.6396372402338687,2.0956732916903538e-24,p < 0.001,200,100,0.6396372402338687
llama3370b (EN→FR),llama3370b_en_fr,0.6168536415762058,2.34917763501752e-22,p < 0.001,200,100,0.6168536415762058
gemma29b (FR→FR),gemma29b_fr_fr,0.6119675022014581,6.151622758971999e-22,p < 0.001,200,100,0.6119675022014581
gemma29b (EN→FR),gemma29b_en_fr,0.6014541103645537,4.617383569822436e-21,p < 0.001,200,100,0.6014541103645537
mistral (EN→FR),mistral_en_fr,0.5911665772069786,3.0927033735904174e-20,p < 0.001,200,100,0.5911665772069786
mistral (EN→EN),mistral_en_en,0.580996792808487,1.898488368088234e-19,p < 0.001,200,100,0.580996792808487
llama3370b (EN→EN),llama3370b_en_en,0.5584531177292771,8.526899298769843e-18,p < 0.001,200,100,0.5584531177292771
gemma29b (EN→EN),gemma29b_en_en,0.5554209622896968,1.3918528199949853e-17,p < 0.001,200,100,0.5554209622896968
Dictionary (en),lsd_en,0.5307078010585484,6.310406279166728e-16,p < 0.001,200,100,0.5307078010585484
mistral (FR→FR),mistral_fr_fr,0.5284420037786293,8.815548476564521e-16,p < 0.001,200,100,0.5284420037786293
llama323b (FR→FR),llama323b_fr_fr,0.5143143993913517,6.707244257143154e-15,p < 0.001,200,100,0.5143143993913517
llama323b (EN→EN),llama323b_en_en,0.4679589214702635,2.8097615728593846e-12,p < 0.001,200,100,0.4679589214702635
gemini20 (EN→EN),gemini20_en_en,0.43118097539095307,1.8431308675701113e-10,p < 0.001,200,100,0.43118097539095307
Dictionary (fr),lsd_fr,0.3050221512183777,1.124471813777641e-5,p < 0.001,200,100,0.3050221512183777
llama323b (EN→FR),llama323b_en_fr,0.28820140035538777,3.497567643790422e-5,p < 0.001,200,100,0.28820140035538777
llama321b (FR→FR),llama321b_fr_fr,-0.1440613964065511,0.041831334268611894,p < 0.05,200,100,0.1440613964065511
llama321b (EN→FR),llama321b_en_fr,0.1191233004047924,0.09294059052692528,Not significant,200,100,0.1191233004047924
deepseekr1 (FR→FR),deepseekr1_fr_fr,-0.09391085944137292,0.18817861734996216,Not significant,198,99,0.09391085944137292
deepseekr1 (EN→FR),deepseekr1_en_fr,-0.09367623076603616,0.1870416760837102,Not significant,200,100,0.09367623076603616
qwq32b (EN→EN),qwq32b_en_en,-0.08649297668950441,0.22565399126708618,Not significant,198,99,0.08649297668950441
llama321b (EN→EN),llama321b_en_en,0.08092395025492338,0.25464752100375276,Not significant,200,100,0.08092395025492338
doc_id,doc_id,-0.0645162304582562,0.3640767366863672,Not significant,200,100,0.0645162304582562
qwq32b (FR→FR),qwq32b_fr_fr,-0.010297118519929418,0.8852260864799312,Not significant,199,99.5,0.010297118519929418
deepseekr1 (EN→EN),deepseekr1_en_en,0.008105173430715512,0.9093108345415939,Not significant,200,100,0.008105173430715512
qwq32b (EN→FR),qwq32b_en_fr,-0.002700728024564458,0.9698004861609854,Not significant,199,99.5,0.002700728024564458
